keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko,_notes
TXT_DANCERTUTORIAL,"[b]summoner[/b] Zombies are slow moving masses of flesh that spawn other zombies 
from their putresence. 

Will spawn up to 8 head zombies in an area around it. Make use of attacks 
affecting a large area to take them out.
",,,,,,,,,,res://_Assets/Text/TextFiles/DancerTutorial.txt
TXT_DIMENSIONTUTORIAL,"You have [b]two battles[/b] to fight. Hit Y to travel to the other dimension also besieged by Zombies. Defend both at the same time!
",,,,,,,,,,res://_Assets/Text/TextFiles/DimensionTutorial.txt
TXT_FIRSTTUTORIAL,"[b]zombies[/b] will walk right to left down the path, trying to feast on your blood.
 
Use [b]demons[/b] to kill zombies before they reach the end of the path. 
 
If too many zombies reach the end of the path, you die. 
",,,,,,,,,,res://_Assets/Text/TextFiles/FirstTutorial.txt
TXT_FOOTBALLTUTORIAL,"[b]chimera[/b] are the result of the infernal tinkering of Blood Priests. Not content with solely warping human flesh, they fused the bodies of man and demon in an unholy union, creaturing a monster of relentless strength, speed, and ferocity. 
",,,,,,,,,,res://_Assets/Text/TextFiles/FootBallTutorial.txt
TXT_HIVECRAWLERBUFF,"[b]hive[/b]'s [b]receive[/b] buffs from [b]spyders[/b], causing slowed enemies killed by Wasps to explode.
",,,,,,,,,,res://_Assets/Text/TextFiles/hiveCrawlerBuff.txt
TXT_HIVEMAWBUFF,"When [b]maw[/b]'s eat foes inlaid with the eggs of demonic wasps, they absorb and are empowered by the foreign hell energy, gaining increased range.
",,,,,,,,,,res://_Assets/Text/TextFiles/HiveMawBuff.txt
TXT_LASTBLOODBUFFTUTORIAL,"You will know a [b]blood buff[/b] is activated by the floating [b]blood[/b] around a given [b]summon[/b].
",,,,,,,,,,res://_Assets/Text/TextFiles/LastBloodBuffTutorial.txt
TXT_LEVEL0_1_TUTORIAL_BLOODCOST,"Demons cost [color=red][b]blood[/b][/color] to [color=red][b]summon[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_1_Tutorial_BloodCost.txt
TXT_LEVEL0_1_TUTORIAL_GREENDIMENSION,"[color=red][b]defend[/b][/color] [color=#9b42df]Earth[/color] & [color=#18b800]Syn[/color] Simultaneously
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_1_Tutorial_GreenDimension.txt
TXT_LEVEL0_1_TUTORIAL_PLACECRAWLER,"[color=red]Click[/color] on a pulsing tile to [color=red][b]summon[/b][/color] the [color=red][b]demon[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_1_Tutorial_PlaceCrawler.txt
TXT_LEVEL0_1_TUTORIAL_PRESSY,"[b]press[/b] [color=red]Y[/color] to [color=red][b]swap[/b][/color] from [color=purple][b]earth[/b][/color] to the [color=green][b]syn dimension[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_1_Tutorial_PressY.txt
TXT_LEVEL0_1_TUTORIAL_SELECTCRAWLER,"Click a [color=red][b]demon ruune[/b][/color] to Select It
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_1_Tutorial_SelectCrawler.txt
TXT_LEVEL0_2_TUTORIAL_BLOODBUFFS,"- Occulum [color=red][b]blood[/b][/color] now [color=red][b]damages[/b][/color] nearby enemies on [color=red][b]pickup[/b][/color]
- Occulum now [color=red][b]generates blood faster[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_BloodBuffs.txt
TXT_LEVEL0_2_TUTORIAL_BLOODBUFFS_2,"- Crawler projectiles now generate [color=red][b]blood[/b][/color] on [color=red][b]hit[/b][/color]
- Webbed enemies now give [color=red][b]blood[/b][/color] on [color=red][b]death[/b][/color]  
- [color=red][b]range increased[/b][/color]
- [color=red][b]damage increased[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_BloodBuffs_2.txt
TXT_LEVEL0_2_TUTORIAL_BLOODBUFFS_3,"Blood Buffs are [color=red][b]crucial[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_BloodBuffs_3.txt
TXT_LEVEL0_2_TUTORIAL_BLOODBUFFS_4,"[color=red][b]crawler buffs[/b][/color] generally [color=red][b]slow[/b][/color] down [color=purple]Zombies[/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_BloodBuffs_4.txt
TXT_LEVEL0_2_TUTORIAL_BLOODBUFFS_5,"[color=red][b]occulum buffs[/b][/color] generally grant more [color=red][b]blood[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_BloodBuffs_5.txt
TXT_LEVEL0_2_TUTORIAL_BLOODGEN,"Occulum [color=red][b]generate blood[/b][/color] over time.
Collect the blood by [color=red][b]hovering[/b][/color] over it.
Blood is eventually [color=red][b]auto-collected[/b][/color] for [color=red][b]reduced value[/b][/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_BloodGen.txt
TXT_LEVEL0_2_TUTORIAL_INVALIDCRAWLERPLACEMENT,"Wrong position! Place the [b]spyder[/b] directly [b]behind[/b] the Eye.

""Behind"" means one cell to the [b]left[/b] of the Eye.
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_InvalidCrawlerPlacement.txt
TXT_LEVEL0_2_TUTORIAL_PLACECRAWLER,"[color=red][b]all demons[/b][/color] can [color=red][b]blood buff[/b][/color] other Demons. 
Blood Buffs are activated by placing a Demon in the red [color=red][b]blood buff[/b][/color] [b]zone[/b] of another.
Summon the [color=red][b]crawler[/b][/color] in the [color=red][b]blood buff[/b][/color] [b]zone[/b] of the [color=red][b]occulum[/b][/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_PlaceCrawler.txt
TXT_LEVEL0_2_TUTORIAL_PLACEOCCULUM,"Summon the Occulum to start [color=red][b]generating blood[/b][/color]. 
Occulum get [color=red][b]more expensive[/b][/color] with each one summoned.
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_PlaceOcculum.txt
TXT_LEVEL0_2_TUTORIAL_SELECTCRAWLER,"Now select the [color=red][b]crawler[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_SelectCrawler.txt
TXT_LEVEL0_2_TUTORIAL_SELECTOCCULUM,"You are almost out of [color=red][b]blood[/b][/color].
Select an [color=red][b]occulum[/b][/color] 
",,,,,,,,,,res://_Assets/Text/TextFiles/Level0_2_Tutorial_SelectOcculum.txt
TXT_LEVEL0_3_TUTORIAL_PLACEMAW,"Place One Now
","Coloca una ahora
","现在放置一个
","Поставьте одного сейчас
","Coloque uma agora
","Platziere jetzt einen
","今すぐ配置しよう
","Placez-en une maintenant
","Postaw jednego teraz
","지금 하나를 배치하세요
",res://_Assets/Text/TextFiles/Level0-3_Tutorial_PlaceMaw.txt
TXT_LEVEL0_3_TUTORIAL_SELECTMAW,"Maws are juvenile apex-predators of Syn, and one highly connected to the ecoystem. The near endless appetites of these creatures fuels their outstanding growth later in life.

Select one now
","Las Fauces son superdepredadores juveniles de Syn, muy ligados a su ecosistema. El apetito casi infinito de estas criaturas alimenta su asombroso crecimiento posterior.

Selecciona una ahora
","巨口是辛恩大陆的幼年顶级掠食者，与生态系统关系密切。这些生物近乎无尽的食欲，成就了它们日后惊人的成长。

现在选择一个
","Пасти — юные сверххищники Сина, тесно связанные с его экосистемой. Почти бесконечный аппетит этих созданий питает их выдающийся рост в зрелости.

Выберите одного сейчас
","As Goelas são superpredadores juvenis de Syn, muito ligados ao ecossistema. O apetite quase infinito dessas criaturas alimenta seu crescimento extraordinário mais tarde.

Selecione uma agora
","Schlünde sind junge Spitzenprädatoren Syns, eng mit dem Ökosystem verwoben. Der nahezu endlose Appetit dieser Kreaturen befeuert ihr außergewöhnliches Wachstum im späteren Leben.

Wähle jetzt einen
","マウはシンの幼き頂点捕食者で、生態系と深く結びついている。ほぼ尽きることのない食欲が、後の目覚ましい成長を支える。

今すぐ選択しよう
","Les Gueules sont les superprédateurs juvéniles de Syn, très liés à son écosystème. L'appétit presque sans fin de ces créatures nourrit leur croissance exceptionnelle.

Sélectionnez-en une maintenant
","Paszcze to młodociane superdrapieżniki Syn, mocno związane z ekosystemem. Niemal bezdenny apetyt tych stworzeń napędza ich niezwykły późniejszy wzrost.

Wybierz jednego teraz
","마우는 신 대륙의 어린 최상위 포식자로, 생태계와 깊이 연결되어 있습니다. 거의 끝없는 식욕이 훗날 이들의 놀라운 성장을 뒷받침합니다.

지금 하나를 선택하세요
",res://_Assets/Text/TextFiles/Level0-3_Tutorial_SelectMaw.txt
TXT_LEVEL0_4_TUTORIAL_PLACEWYRM,"Place One Now
","Coloca una ahora
","现在放置一个
","Поставьте одного сейчас
","Coloque uma agora
","Platziere jetzt einen
","今すぐ配置しよう
","Placez-en une maintenant
","Postaw jednego teraz
","지금 하나를 배치하세요
",res://_Assets/Text/TextFiles/Level0-4_Tutorial_PlaceWyrm.txt
TXT_LEVEL0_4_TUTORIAL_SELECTWYRM,"Hatchling Wyrms from the Blood Swamps of Syn. Capable of firing a hyper pressurized super-heated beam of blood from their mouths, slicing through prey.

Select one now
","Crías de Sierpe de los Pantanos de Sangre de Syn. Pueden disparar por la boca un rayo de sangre hiperpresurizado y sobrecalentado que rebana a sus presas.

Selecciona una ahora
","来自辛恩血沼的蠕龙幼体。能从口中喷射超高压、超高温的血之射线，将猎物切成两半。

现在选择一个
","Детёныши Змиев из Кровавых Топей Сина. Способны выпускать изо рта сверхсжатый раскалённый луч крови, рассекающий добычу.

Выберите одного сейчас
","Filhotes de Serpe dos Pântanos de Sangue de Syn. Capazes de disparar pela boca um raio de sangue superaquecido e hiperpressurizado que fatia suas presas.

Selecione uma agora
","Wyrm-Schlüpflinge aus den Blutsümpfen Syns. Sie feuern aus ihren Mäulern einen überhitzten Hochdruck-Blutstrahl der Beute zerteilt.

Wähle jetzt einen
","シンの血の沼地から来たワームの幼体。口から超高圧・超高温の血のビームを放ち、獲物を切り裂く。

今すぐ選択しよう
","Des Vouivres nouveau-nées des Marais de Sang de Syn. Capables de cracher un rayon de sang surchauffé et hyperpressurisé qui tranche leurs proies.

Sélectionnez-en une maintenant
","Świeżo wyklute Żmije z Krwawych Bagien Syn. Potrafią wystrzelić z paszczy przegrzany strumień krwi pod ogromnym ciśnieniem, tnący ofiary na pół.

Wybierz jednego teraz
","신 대륙의 피의 늪에서 온 갓 부화한 웜. 입에서 초고압·초고온의 피의 광선을 쏘아 사냥감을 갈라버립니다.

지금 하나를 선택하세요
",res://_Assets/Text/TextFiles/Level0-4_Tutorial_SelectWyrm.txt
TXT_LEVEL0_5_TUTORIAL_PLACEHIVE,"Place One Now
","Coloca una ahora
","现在放置一个
","Поставьте один сейчас
","Coloque uma agora
","Platziere jetzt eines
","今すぐ配置しよう
","Placez-en une maintenant
","Postaw jeden teraz
","지금 하나를 배치하세요
",res://_Assets/Text/TextFiles/Level0-5_Tutorial_PlaceHive.txt
TXT_LEVEL0_5_TUTORIAL_SELECTHIVE,"An infernal nest of vicious Syn-Wasps, creatures that seek to do nothing but kill and spread.

Select one now
","Un nido infernal de feroces avispas de Syn, criaturas que solo buscan matar y propagarse.

Selecciona una ahora
","凶残辛之黄蜂的炼狱巢穴，这些生物只知杀戮与繁衍。

现在选择一个
","Адское гнездо свирепых ос Сина — созданий, которые жаждут лишь убивать и плодиться.

Выберите один сейчас
","Um ninho infernal de vespas de Syn ferozes, criaturas que só querem matar e se espalhar.

Selecione uma agora
","Ein höllisches Nest bösartiger Syn-Wespen — Kreaturen die nichts wollen außer töten und sich ausbreiten.

Wähle jetzt eines
","凶暴なシンの蜂が巣食う煉獄の巣。彼らはただ殺し、増えることだけを求める。

今すぐ選択しよう
","Un nid infernal de féroces guêpes de Syn, des créatures qui ne cherchent qu'à tuer et proliférer.

Sélectionnez-en une maintenant
","Piekielne gniazdo okrutnych os Syn — stworzeń, które pragną jedynie zabijać i się mnożyć.

Wybierz jeden teraz
","포악한 신의 말벌들이 사는 지옥의 둥지. 이들은 오직 죽이고 번지는 것만을 원합니다.

지금 하나를 선택하세요
",res://_Assets/Text/TextFiles/Level0-5_Tutorial_SelectHive.txt
TXT_MAWTUTORIAL,"[b]maw[/b]'s are ravenous hell creatures that can devour enemies whole. Beware, when all their tentacles are busy wripping prey apart in their cavernous stomachs, the [b]maw[/b] is vulnerable.
",,,,,,,,,,res://_Assets/Text/TextFiles/MawTutorial.txt
TXT_OCCULARSPINETUTORIAL,"Utilize [b]occular spines[/b] to block zombies, halting them in their tracks while they attempt to break through. 
 
[b]occular spines[/b] will regenerate health over time when not being damaged.
 
[b]occular spines[/b] cannot block flying enemies.
 
Click the [b]occular[/b] Spine Icon to select it and place it in a defensive position.
",,,,,,,,,,res://_Assets/Text/TextFiles/OccularSpineTutorial.txt
TXT_OCCULUMCRAWLERBUFF,"[b]eyes[/b] give [b]spyders[/b] increased rate of fire.
",,,,,,,,,,res://_Assets/Text/TextFiles/OcculumCrawlerBuff.txt
TXT_OCCULUMHIVEBUFF,"[b]eyes[/b] give [b]hives[/b] a reduced respawn time for their wasps.
",,,,,,,,,,res://_Assets/Text/TextFiles/OcculumHiveBuff.txt
TXT_OCCULUMINTRO,"[b]demons[/b] can be selected from the Summon Menu in the bottom right
 
Click the Sanguine Eye to Select It 
",,,,,,,,,,res://_Assets/Text/TextFiles/OcculumIntro.txt
TXT_OCCULUMMAWBUFF,"[b]eyes[/b] give [b]maws[/b] the ability to belch out [b]blood[/b] when upon zombie digestion completion. 
",,,,,,,,,,res://_Assets/Text/TextFiles/OcculumMawBuff.txt
TXT_OCCULUMSPINEBUFF,"[b]eyes[/b] give [b]occular spines[/b] increased maximum health and increased health regeneration.
",,,,,,,,,,res://_Assets/Text/TextFiles/OcculumSpineBuff.txt
TXT_OCCULUMWYRMBUFF,"[b]eyes[/b] give [b]wyrms[/b] a shorter primary fire cooldown.
",,,,,,,,,,res://_Assets/Text/TextFiles/OcculumWyrmBuff.txt
TXT_PLACESUMMON,"[b]eyes[/b] generate [b]blood[/b] over time. Collect [b]blood[/b] by hovering over it with your mouse, but be warned, it will be picked up afterwards for less value if you wait too long.
 
[b]blood[/b] is used to place more [b]summons[/b]
  
You also gain [b]blood[/b] from killing enemies 
 
Click on a Tile to place the Eye. Be careful, as [b]eyes[/b] will get more expensive with each one placed.
",,,,,,,,,,res://_Assets/Text/TextFiles/PlaceSummon.txt
TXT_POLEVAULTTUTORIAL,"[b]leaper[/b]'s can do as their name suggests a catapault themselves over defenses. Take them out quickly.
",,,,,,,,,,res://_Assets/Text/TextFiles/PoleVaultTutorial.txt
TXT_SCREENDOORZOMBIETUTORIAL,"[b]phalanx[/b]'s are severed that use the undead corpses of their kin as a shields that double as battering rams. Masters of hell energy, these foes are not to be underestimated.

Piercing damage is especially effective.
",,,,,,,,,,res://_Assets/Text/TextFiles/ScreenDoorZombieTutorial.txt
TXT_SPINEMAWBUFF,"The [b]blood[/b] and [b]hell energy[/b] released from the [b]maw[/b]'s victims invirogate nearby Occular Spines, enabling them to heal faster.
",,,,,,,,,,res://_Assets/Text/TextFiles/SpineMawBuff.txt
TXT_TICKERTUTORIAL,"[b]ticker zombies[/b] are fast moving sentient bombs. Make sure to take them out before they get too close to your summons.
",,,,,,,,,,res://_Assets/Text/TextFiles/TickerTutorial.txt
TXT_TUTORIAL_CLICK_SKULL,"Click the [color=red][b]skull icon[/b][/color] to [color=red][b]start[/b][/color] the [color=red][b]wave[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Click_Skull.txt
TXT_TUTORIAL_DEMON_REMOVAL,"[color=red]Wyrms[/color] have been reflexively summoned in a bad position.
","Se han invocado [color=red]Sierpes[/color] por instinto en una mala posición.
","[color=red]蠕龙[/color]被本能地召唤到了错误的位置。
","[color=red]Змии[/color] рефлекторно призваны в неудачном месте.
","[color=red]Serpes[/color] foram invocadas por reflexo numa posição ruim.
","[color=red]Wyrms[/color] wurden reflexartig an einer schlechten Position beschworen.
","[color=red]ワーム[/color]が反射的にまずい位置へ召喚されてしまった。
","Des [color=red]Vouivres[/color] ont été invoquées par réflexe à une mauvaise position.
","[color=red]Żmije[/color] zostały odruchowo przyzwane w złym miejscu.
","[color=red]웜[/color]이 반사적으로 잘못된 위치에 소환되었습니다.
",res://_Assets/Text/TextFiles/Tutorial_Demon_Removal.txt
TXT_TUTORIAL_DEMON_REMOVAL_2,"[color=red]Double Click[/color] and press the [color=red]X [b]symbol[/b][/color] to remove. 
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Demon_Removal_2.txt
TXT_TUTORIAL_DEMON_REMOVAL_3,"[color=red]Removing[/color] Demons [color=red][b]refunds blood[/b][/color] proportional to their [color=red][b]remaining health[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Demon_Removal_3.txt
TXT_TUTORIAL_EXPLAIN_DEMON_CLICK,"Click a [color=red][b]demon[/b][/color] to View its [color=red][b]info[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Demon_Click.txt
TXT_TUTORIAL_EXPLAIN_DEMON_HOVER_CLICK,"[color=red][b]hover[/b][/color] over a [color=red][b]demon[/b][/color] to view its [color=red][b]range[/b][/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Demon_Hover_Click.txt
TXT_TUTORIAL_EXPLAIN_HEALTH,"Protect your [color=red][b]health[/b][/color] and [color=red]Defeat[/color] the [color=purple][b]zombies[/b][/color] 
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Health.txt
TXT_TUTORIAL_EXPLAIN_PORTALS,"Lucretia can summon [color=purple][b]por[/b][/color][color=green][b]tals[/b][/color] between [color=purple]Earth[/color] and [color=green]Syn[/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Portals.txt
TXT_TUTORIAL_EXPLAIN_PORTALS_2,"[color=purple][b]por[/b][/color][color=green][b]tals[/b][/color] are [color=red][b]one-way[/b][/color]. [color=purple][b]zombies[/b][/color] [color=red]enter[/color] via the [color=red]first[/color] portal summoned, [color=red]exit[/color] via the [color=red]second[/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Portals_2.txt
TXT_TUTORIAL_EXPLAIN_PORTALS_3,"[color=purple][b]por[/b][/color][color=green][b]tals[/b][/color] have [color=red][b]long duration[/b][/color] & [color=red][b]short cooldown[/b][/color]
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Portals_3.txt
TXT_TUTORIAL_EXPLAIN_PREPLACED_SPINAL_OCCULUM,"You have reflexively summoned some SpinalOcculum. [color=red][b]use their buffs[/b][/color] as you learn control over your new power.
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_PrePlaced_Spinal_Occulum.txt
TXT_TUTORIAL_EXPLAIN_SKULL_HOVER,"[color=red][b]hover[/b][/color] over a [color=red][b]skull[/b][/color] to see incoming [color=purple]Zombies[/color] 
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Skull_Hover.txt
TXT_TUTORIAL_EXPLAIN_SKULL_TILE,"Do [color=red][b]not[/b][/color] let [color=purple][b]zombies[/b] [/color][color=purple][b]touch[/b][/color] the [color=purple][b]skull tiles[/b][/color] or you [color=red][b]lose[/b][/color]. [color=red][b]cannot summon[/b][/color] on Skull Tiles.
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Skull_Tile.txt
TXT_TUTORIAL_EXPLAIN_SWAP,"Lucretia can now command devastating [color=red][b]swap socercies[/b][/color] that charge over time.
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Swap.txt
TXT_TUTORIAL_EXPLAIN_SWAP_2,"When fully charged, [color=red][b]swaping dimensions activates[/b][/color] the [color=red][b]swap sorcery[/b][/color] (unless it is locked with [color=red][b]spacebar[/b][/color])
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Swap_2.txt
TXT_TUTORIAL_EXPLAIN_SWAP_3,"Swapping when an ability is [color=red][b]currently activated[/b][/color] will [color=red][b]cancel[/b] it[/color] and [color=red][b]lengthen[/b][/color] the cooldown.
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Swap_3.txt
TXT_TUTORIAL_EXPLAIN_SYN_ABILITY,"Lucretia can command powerful [color=red][b]syn sorceries[/b][/color].
",,,,,,,,,,res://_Assets/Text/TextFiles/Tutorial_Explain_Syn_Ability.txt
