keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko,_notes
ABILITY_SYN_SHIELDS_TITLE,Syn Shields,Escudos de Syn,辛之护盾,Щиты Сина,Escudos de Syn,Syn-Schilde,シンの盾,Boucliers de Syn,Tarcze Syn,신의 방패,Syn ability name; Syn is the game's core term — keep untranslated
ABILITY_SYN_SHIELDS_DESC,Conjure powerful shields to protect your demons,Conjura escudos poderosos que protegen a tus demonios,凝聚强大的护盾保护你的恶魔,"Создаёт мощные щиты, защищающие ваших демонов",Conjura escudos poderosos para proteger seus demônios,Beschwört mächtige Schilde zum Schutz deiner Dämonen,強力な盾を生み出して悪魔を守る,Invoque de puissants boucliers pour protéger vos démons,Wyczarowuje potężne tarcze chroniące twoje demony,강력한 방패를 만들어 악마를 보호합니다,Syn ability description
ABILITY_BLOOD_ICE_TITLE,Blood Ice,Hielo de sangre,血冰,Кровавый лёд,Gelo de Sangue,Bluteis,ブラッドアイス,Glace de sang,Krwawy lód,피의 얼음,Syn ability name
ABILITY_BLOOD_ICE_DESC,Summon ice spikes from the ground that trigger bleed,Invoca púas de hielo desde el suelo que provocan sangrado,从地面召唤冰刺，造成流血效果,"Призывает ледяные шипы из земли, вызывающие кровотечение",Invoca espinhos de gelo do chão que causam sangramento,Beschwört Eisstacheln aus dem Boden die Blutungen auslösen,地面から氷の棘を出現させ、出血を引き起こす,Invoque des pics de glace qui infligent des saignements,Przyzywa lodowe kolce z ziemi wywołujące krwawienie,땅에서 얼음 가시를 솟아나게 해 출혈을 일으킵니다,Syn ability description
ABILITY_DEATH_MARK_TITLE,Death Mark,Marca de muerte,死亡印记,Метка смерти,Marca da Morte,Todesmal,デスマーク,Marque de mort,Znak śmierci,죽음의 표식,Syn ability name
ABILITY_DEATH_MARK_DESC,"Curse zombies, causing them to take more damage from all sources","Maldice a los zombis, haciendo que reciban más daño de todas las fuentes",诅咒僵尸，使其受到的所有伤害提高,"Проклинает зомби: они получают больше урона из всех источников","Amaldiçoa os zumbis, fazendo-os receber mais dano de todas as fontes","Verflucht Zombies, sodass sie mehr Schaden aus allen Quellen erleiden",ゾンビを呪い、あらゆるダメージを増加させる,"Maudit les zombies, qui subissent plus de dégâts de toutes sources","Przeklina zombie, przez co otrzymują większe obrażenia ze wszystkich źródeł",좀비를 저주해 모든 피해를 더 크게 받게 만듭니다,Syn ability description
ABILITY_SHROOMIE_TITLE,SHROOMIE,SETITA,小蘑菇,ГРИБОК,COGUMELINHO,PILZI,シュルーミー,CHAMPI,GRZYBEK,버섯이,Syn ability name (cute mushroom creature)
ABILITY_SHROOMIE_DESC,"Summon a fungal friend that sets demon projectiles on fire, buffing them","Invoca a un amigo fúngico que prende fuego a los proyectiles demoníacos, mejorándolos",召唤一位真菌朋友，点燃恶魔的弹幕并强化它们,"Призывает грибного друга: снаряды демонов воспламеняются и усиливаются","Invoca um amigo fúngico que incendeia os projéteis dos demônios, fortalecendo-os","Beschwört einen Pilzfreund der Dämonengeschosse entzündet und verstärkt",キノコの友を呼び、悪魔の弾を燃やして強化する,"Invoque un ami fongique qui enflamme les projectiles démoniaques, les renforçant","Przyzywa grzybowego przyjaciela, który podpala pociski demonów, wzmacniając je",버섯 친구를 소환해 악마의 투사체에 불을 붙여 강화합니다,Syn ability description
ABILITY_TORRENTIAL_BLOOD_TITLE,TORRENTIAL BLOOD,SANGRE TORRENCIAL,血流成河,КРОВАВЫЙ ЛИВЕНЬ,SANGUE TORRENCIAL,BLUTFLUT,血の奔流,DÉLUGE DE SANG,KRWAWA ULEWA,피의 급류,Swap ability name on in-game cooldown bar (blood rain variant)
ABILITY_LIGHTNING_CASCADE_TITLE,LIGHTNING CASCADE,CASCADA DE RAYOS,雷电倾泻,КАСКАД МОЛНИЙ,CASCATA DE RAIOS,BLITZKASKADE,ライトニングカスケード,CASCADE DE FOUDRE,KASKADA BŁYSKAWIC,번개 폭포,Swap ability name on in-game cooldown bar (lightning storm variant)
ABILITY_SWAP_PANEL_HINT,Swap abilities activate when the bottom left bar is full and you swap dimensions. Click one to see more!,Las habilidades de cambio se activan cuando la barra inferior izquierda está llena y cambias de dimensión. ¡Haz clic en una para saber más!,当左下角的能量条充满并切换维度时，换界能力就会发动。点击查看详情！,"Способности смены срабатывают, когда шкала слева внизу заполнена и вы меняете измерение. Нажмите на любую, чтобы узнать больше!",As habilidades de troca ativam quando a barra inferior esquerda está cheia e você troca de dimensão. Clique em uma para saber mais!,Wechsel-Fähigkeiten werden ausgelöst wenn die Leiste unten links voll ist und du die Dimension wechselst. Klicke eine an um mehr zu erfahren!,転移アビリティは左下のゲージが満タンの状態で次元を切り替えると発動します。クリックして詳細を確認！,Les pouvoirs d'échange s'activent quand la barre en bas à gauche est pleine et que vous changez de dimension. Cliquez pour en savoir plus !,"Zdolności zamiany aktywują się, gdy pasek w lewym dolnym rogu jest pełny i zmieniasz wymiar. Kliknij, aby dowiedzieć się więcej!",전환 능력은 왼쪽 아래 게이지가 가득 찬 상태에서 차원을 전환하면 발동됩니다. 클릭해서 자세히 알아보세요!,Loadout screen hint (fixed abiltiies typo)
ABILITY_SYN_PANEL_HINT,Syn abilities activate when you click the bottom right icon and then click on the map. Click one to see more!,Las habilidades de Syn se activan al pulsar el icono inferior derecho y luego hacer clic en el mapa. ¡Haz clic en una para saber más!,点击右下角的图标再点击地图，即可发动辛之能力。点击查看详情！,"Способности Сина срабатывают, когда вы нажимаете значок справа внизу, а затем щёлкаете по карте. Нажмите на любую, чтобы узнать больше!",As habilidades de Syn ativam quando você clica no ícone inferior direito e depois no mapa. Clique em uma para saber mais!,Syn-Fähigkeiten werden ausgelöst wenn du das Symbol unten rechts und danach die Karte anklickst. Klicke eine an um mehr zu erfahren!,シンのアビリティは右下のアイコンをクリックし、マップをクリックすると発動します。クリックして詳細を確認！,Les pouvoirs de Syn s'activent en cliquant sur l'icône en bas à droite puis sur la carte. Cliquez pour en savoir plus !,"Zdolności Syn aktywują się po kliknięciu ikony w prawym dolnym rogu, a następnie mapy. Kliknij, aby dowiedzieć się więcej!",신의 능력은 오른쪽 아래 아이콘을 클릭한 뒤 맵을 클릭하면 발동됩니다. 클릭해서 자세히 알아보세요!,Loadout screen hint
POWER_OCCULUM_TITLE,OCCULUM,OCCULUM,奥库伦,ОККУЛУМ,OCCULUM,OCCULUM,オキュラム,OCCULUM,OCCULUM,오큘럼,Power unlock title
POWER_OCCULUM_DESC_SHORT,GENERATES BLOOD,GENERA SANGRE,生成鲜血,ПРОИЗВОДИТ КРОВЬ,GERA SANGUE,ERZEUGT BLUT,血を生成,GÉNÈRE DU SANG,WYTWARZA KREW,피 생성,Power unlock rune caption
POWER_OCCULUM_DESC_LONG,GENERATES BLOOD OVER TIME. SYNERGIES IMPROVE BLOOD GENERATION. VITAL FOR ANY DEFENSE.,GENERA SANGRE CON EL TIEMPO. LAS SINERGIAS MEJORAN LA PRODUCCIÓN. VITAL PARA CUALQUIER DEFENSA.,随时间生成鲜血。协同可提升产量。任何防线的根基。,СО ВРЕМЕНЕМ ПРОИЗВОДИТ КРОВЬ. СИНЕРГИИ УСКОРЯЮТ ВЫРАБОТКУ. ОСНОВА ЛЮБОЙ ОБОРОНЫ.,GERA SANGUE AO LONGO DO TEMPO. SINERGIAS MELHORAM A PRODUÇÃO. VITAL PARA QUALQUER DEFESA.,ERZEUGT MIT DER ZEIT BLUT. SYNERGIEN VERBESSERN DIE PRODUKTION. UNVERZICHTBAR FÜR JEDE VERTEIDIGUNG.,時間経過で血を生成。シナジーで生産量アップ。あらゆる防衛の要。,GÉNÈRE DU SANG AU FIL DU TEMPS. LES SYNERGIES AMÉLIORENT LA PRODUCTION. VITAL POUR TOUTE DÉFENSE.,Z CZASEM WYTWARZA KREW. SYNERGIE ZWIĘKSZAJĄ PRODUKCJĘ. PODSTAWA KAŻDEJ OBRONY.,시간이 지나며 피를 생성합니다. 시너지로 생산량이 늘어납니다. 모든 방어의 핵심.,Power unlock screen description
POWER_SPINAL_OCCULUM_TITLE,SPINAL OCCULUM,OCCULUM ESPINAL,脊柱奥库伦,СПИНАЛЬНЫЙ ОККУЛУМ,OCCULUM ESPINHAL,STACHEL-OCCULUM,スパイナル・オキュラム,OCCULUM SPINAL,OCCULUM KRĘGOWY,스파이널 오큘럼,Power unlock title
POWER_SPINAL_OCCULUM_DESC_SHORT,BLOCKS ZOMBIES,BLOQUEA ZOMBIS,阻挡僵尸,БЛОКИРУЕТ ЗОМБИ,BLOQUEIA ZUMBIS,BLOCKIERT ZOMBIES,ゾンビを阻止,BLOQUE LES ZOMBIES,BLOKUJE ZOMBIE,좀비 저지,Power unlock rune caption
POWER_SPINAL_OCCULUM_DESC_LONG,BLOCKS ZOMBIES. SYNERGIES IMPROVE DEFENSE & STALLING POTENTIAL.,BLOQUEA ZOMBIS. LAS SINERGIAS MEJORAN LA DEFENSA Y LA CONTENCIÓN.,阻挡僵尸。协同可提升防御与拖延能力。,БЛОКИРУЕТ ЗОМБИ. СИНЕРГИИ УСИЛИВАЮТ ЗАЩИТУ И СДЕРЖИВАНИЕ.,BLOQUEIA ZUMBIS. SINERGIAS MELHORAM A DEFESA E A CONTENÇÃO.,BLOCKIERT ZOMBIES. SYNERGIEN VERBESSERN VERTEIDIGUNG & AUFHALTEVERMÖGEN.,ゾンビを阻止。シナジーで防御と足止め性能アップ。,BLOQUE LES ZOMBIES. LES SYNERGIES AMÉLIORENT LA DÉFENSE ET LE BLOCAGE.,BLOKUJE ZOMBIE. SYNERGIE ZWIĘKSZAJĄ OBRONĘ I ZDOLNOŚĆ POWSTRZYMYWANIA.,좀비를 막아섭니다. 시너지로 방어력과 저지력이 강화됩니다.,Power unlock screen description
POWER_SYN_LIGHTNING_TITLE,SYN LIGHTNING,RAYO DE SYN,辛之雷电,МОЛНИЯ СИНА,RAIO DE SYN,SYN-BLITZ,シンの稲妻,FOUDRE DE SYN,BŁYSKAWICA SYN,신의 번개,Power unlock title
POWER_SYN_LIGHTNING_DESC_SHORT,ELECTROCUTES ZOMBIES,ELECTROCUTA ZOMBIS,电击僵尸,БЬЁТ ЗОМБИ ТОКОМ,ELETROCUTA ZUMBIS,ELEKTRISIERT ZOMBIES,ゾンビを感電させる,ÉLECTROCUTE LES ZOMBIES,RAZI ZOMBIE PRĄDEM,좀비를 감전시킴,Power unlock rune caption
POWER_SYN_LIGHTNING_DESC_LONG,SUMMONS LIGHTNING IN SELECTED AREA. TEARS THROUGH HORDES.,INVOCA RAYOS EN LA ZONA ELEGIDA. DESGARRA LAS HORDAS.,在选定区域召唤雷电。撕裂尸潮。,ПРИЗЫВАЕТ МОЛНИИ В ВЫБРАННОЙ ОБЛАСТИ. РВЁТ ОРДЫ В КЛОЧЬЯ.,INVOCA RAIOS NA ÁREA ESCOLHIDA. DEVASTA HORDAS.,BESCHWÖRT BLITZE IM GEWÄHLTEN BEREICH. REISST HORDEN IN STÜCKE.,選択した範囲に稲妻を召喚。大群を切り裂く。,INVOQUE LA FOUDRE DANS LA ZONE CHOISIE. DÉCHIRE LES HORDES.,PRZYZYWA BŁYSKAWICE W WYBRANYM OBSZARZE. ROZDZIERA HORDY.,선택한 지역에 번개를 소환합니다. 무리를 찢어발깁니다.,Power unlock screen description
POWER_LIGHTNING_CASCADE_TITLE,LIGHTNING CASCADE,CASCADA DE RAYOS,雷电倾泻,КАСКАД МОЛНИЙ,CASCATA DE RAIOS,BLITZKASKADE,ライトニングカスケード,CASCADE DE FOUDRE,KASKADA BŁYSKAWIC,번개 폭포,Power unlock title
POWER_LIGHTNING_CASCADE_DESC_SHORT,EVOKE LIGHTNING STORM,EVOCA UNA TORMENTA ELÉCTRICA,唤起雷暴,ВЫЗЫВАЕТ ГРОЗУ,EVOCA TEMPESTADE DE RAIOS,BESCHWÖRT EIN GEWITTER,雷の嵐を呼び起こす,ÉVOQUE UN ORAGE,WYWOŁUJE BURZĘ PIORUNÓW,번개 폭풍을 일으킴,Power unlock rune caption
POWER_LIGHTNING_CASCADE_DESC_LONG,SUMMONS LIGHTNING ACROSS THE BATTLEFIELD. USE TO TURN THE TIDE,INVOCA RAYOS POR TODO EL CAMPO DE BATALLA. ÚSALA PARA CAMBIAR LAS TORNAS,在整个战场召唤雷电。用它扭转战局,ПРИЗЫВАЕТ МОЛНИИ ПО ВСЕМУ ПОЛЮ БОЯ. ПЕРЕЛОМИТЕ ХОД БИТВЫ,INVOCA RAIOS POR TODO O CAMPO DE BATALHA. USE PARA VIRAR O JOGO,BESCHWÖRT BLITZE ÜBER DAS GANZE SCHLACHTFELD. WENDE DAMIT DAS BLATT,戦場全体に稲妻を召喚。戦況をひっくり返せ,INVOQUE LA FOUDRE SUR TOUT LE CHAMP DE BATAILLE. RENVERSEZ LE COURS DU COMBAT,PRZYZYWA BŁYSKAWICE NA CAŁYM POLU BITWY. ODWRÓĆ LOSY STARCIA,전장 전체에 번개를 소환합니다. 전세를 뒤집으세요,Power unlock screen description
POWER_WYRM_TITLE,WYRM,SIERPE,蠕龙,ЗМИЙ,SERPE,WYRM,ワーム,VOUIVRE,ŻMIJ,웜,Power unlock title
POWER_WYRM_DESC_SHORT,SHOOTS PIERCING BLOOD,DISPARA SANGRE PERFORANTE,喷射穿透血弹,СТРЕЛЯЕТ ПРОБИВАЮЩЕЙ КРОВЬЮ,DISPARA SANGUE PERFURANTE,VERSCHIESST DURCHDRINGENDES BLUT,貫通する血を発射,TIRE DU SANG PERFORANT,STRZELA PRZEBIJAJĄCĄ KRWIĄ,관통하는 피를 발사,Power unlock rune caption
POWER_WYRM_DESC_LONG,SHOOTS PIERCING BLOOD. SYNERGIES IMPROVE AOE DAMAGE. RIPS THROUGH HORDES,DISPARA SANGRE PERFORANTE. LAS SINERGIAS MEJORAN EL DAÑO EN ÁREA. DESGARRA LAS HORDAS,喷射穿透血弹。协同可提升范围伤害。撕裂尸潮,СТРЕЛЯЕТ ПРОБИВАЮЩЕЙ КРОВЬЮ. СИНЕРГИИ УСИЛИВАЮТ УРОН ПО ПЛОЩАДИ. РВЁТ ОРДЫ,DISPARA SANGUE PERFURANTE. SINERGIAS MELHORAM O DANO EM ÁREA. DEVASTA HORDAS,VERSCHIESST DURCHDRINGENDES BLUT. SYNERGIEN VERBESSERN FLÄCHENSCHADEN. REISST DURCH HORDEN,貫通する血を発射。シナジーで範囲ダメージアップ。大群を切り裂く,TIRE DU SANG PERFORANT. LES SYNERGIES AMÉLIORENT LES DÉGÂTS DE ZONE. DÉCHIRE LES HORDES,STRZELA PRZEBIJAJĄCĄ KRWIĄ. SYNERGIE ZWIĘKSZAJĄ OBRAŻENIA OBSZAROWE. ROZDZIERA HORDY,관통하는 피를 발사합니다. 시너지로 광역 피해가 강화됩니다. 무리를 뚫어버립니다,Power unlock screen description
POWER_PORTALS_TITLE,PORTALS,PORTALES,传送门,ПОРТАЛЫ,PORTAIS,PORTALE,ポータル,PORTAILS,PORTALE,포털,Power unlock title
POWER_PORTALS_DESC_SHORT,TELEPORTS ZOMBIES,TELETRANSPORTA ZOMBIS,传送僵尸,ТЕЛЕПОРТИРУЕТ ЗОМБИ,TELEPORTA ZUMBIS,TELEPORTIERT ZOMBIES,ゾンビを転送,TÉLÉPORTE LES ZOMBIES,TELEPORTUJE ZOMBIE,좀비를 이동시킴,Power unlock rune caption
POWER_PORTALS_DESC_LONG,TELEPORTS ZOMBIES TO OPPOSITE DIMENSION PORTAL. CONTROL THE FIELD,TELETRANSPORTA ZOMBIS AL PORTAL DE LA OTRA DIMENSIÓN. CONTROLA EL CAMPO,将僵尸传送到另一维度的传送门。掌控战场,ТЕЛЕПОРТИРУЕТ ЗОМБИ К ПОРТАЛУ В ДРУГОМ ИЗМЕРЕНИИ. ВЛАДЕЙТЕ ПОЛЕМ БОЯ,TELEPORTA ZUMBIS PARA O PORTAL DA OUTRA DIMENSÃO. CONTROLE O CAMPO,TELEPORTIERT ZOMBIES ZUM PORTAL DER ANDEREN DIMENSION. BEHERRSCHE DAS FELD,ゾンビを反対次元のポータルへ転送。戦場を支配せよ,TÉLÉPORTE LES ZOMBIES VERS LE PORTAIL DE L'AUTRE DIMENSION. CONTRÔLEZ LE TERRAIN,TELEPORTUJE ZOMBIE DO PORTALU W DRUGIM WYMIARZE. PANUJ NAD POLEM,좀비를 반대 차원의 포털로 이동시킵니다. 전장을 지배하세요,Power unlock screen description
