keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko
Text/26/text,"You can’t stop this, little girl. No one can.","No puedes detener esto, niñita. Nadie puede.","你阻止不了这一切的，小姑娘。没人能。","Тебе этого не остановить, девочка. Никому не под силу.","Você não pode impedir isso, garotinha. Ninguém pode.","Du kannst das nicht aufhalten, kleines Mädchen. Niemand kann das.","これは止められないよ、お嬢ちゃん。誰にもね。","Tu ne peux pas arrêter ça, petite fille. Personne ne le peut.","Nie powstrzymasz tego, dziewczynko. Nikt nie może.","이건 막을 수 없다, 꼬마 아가씨. 그 누구도 못 막지."
Text/27/text,Stop! What has Argus told you? Why are you doing this?,"¡Alto! ¿Qué te ha contado Argus? ¿Por qué haces esto?",住手！阿古斯跟你说了什么？你为什么要这么做？,"Стой! Что тебе наговорил Аргус? Зачем ты это делаешь?","Pare! O que o Argus te disse? Por que você está fazendo isso?","Halt! Was hat Argus dir erzählt? Warum tust du das?","待って！アーガスに何を吹き込まれたの？なんでこんなことを？","Arrête ! Qu'est-ce qu'Argus t'a raconté ? Pourquoi tu fais ça ?","Stój! Co ci naopowiadał Argus? Czemu to robisz?","멈춰! 아르구스가 뭐라고 한 거야? 왜 이런 짓을 하는 거지?"
Text/28/text,"If I didn’t do this, someone else would. The only way to stay on top is to squeeze out your competition.","Si no lo hiciera yo, lo haría otro. La única forma de mantenerse arriba es exprimir a la competencia.","我不做，别人也会做。想立于不败之地，唯一的办法就是挤垮你的竞争对手。","Не я, так кто-нибудь другой. Единственный способ оставаться наверху — выдавить конкурентов.","Se eu não fizesse isso, outro faria. O único jeito de ficar no topo é esmagar a concorrência.","Wenn ich es nicht täte, würde es jemand anderes tun. Man bleibt nur an der Spitze indem man die Konkurrenz verdrängt.","私がやらなくても、誰かがやっていたさ。頂点に立ち続けるには、競争相手を締め出すしかない。","Si je ne le faisais pas, quelqu'un d'autre le ferait. Le seul moyen de rester au sommet, c'est d'écraser la concurrence.","Gdybym ja tego nie zrobił, zrobiłby to ktoś inny. Jedyny sposób, by pozostać na szczycie, to wygnieść konkurencję.","내가 안 해도 누군가는 했을 거다. 정상에 남는 유일한 방법은 경쟁자를 짜내 없애는 것이지."
Text/29/text,"What? It’s the end of the world, and you’re thinking about business?","¿Qué? ¿Es el fin del mundo y tú piensas en negocios?","什么？世界都要完了，你满脑子还是生意？","Что? На дворе конец света, а ты думаешь о бизнесе?","Quê? É o fim do mundo e você está pensando em negócios?","Was? Es ist das Ende der Welt und du denkst an Geschäfte?","はあ？世界の終わりだってのに、あんたはビジネスの話？","Quoi ? C'est la fin du monde, et toi tu penses aux affaires ?","Co? Świat się kończy, a ty myślisz o interesach?","뭐? 세상이 끝나가는데 사업 생각을 한다고?"
Text/2a/text,"You see, that’s what separates the successful from the weak: ambition. Where you see the apocalypse, I see an economic opportunity.","¿Ves? Eso es lo que separa a los exitosos de los débiles: la ambición. Donde tú ves el apocalipsis, yo veo una oportunidad económica.","你看，这就是成功者与弱者的区别：野心。你看到的是天启，我看到的是商机。","Видишь ли, именно это отличает успешных от слабых: амбиции. Там, где ты видишь апокалипсис, я вижу экономическую возможность.","Viu? É isso que separa os bem-sucedidos dos fracos: ambição. Onde você vê o apocalipse, eu vejo uma oportunidade econômica.","Siehst du, genau das trennt die Erfolgreichen von den Schwachen: Ehrgeiz. Wo du die Apokalypse siehst, sehe ich eine wirtschaftliche Chance.","いいかい、成功者と弱者を分けるのは野心だ。君には黙示録に見えるものが、私には経済的チャンスに見える。","Tu vois, c'est ça qui sépare ceux qui réussissent des faibles : l'ambition. Là où tu vois l'apocalypse, je vois une opportunité économique.","Widzisz, to właśnie odróżnia ludzi sukcesu od słabych: ambicja. Tam, gdzie ty widzisz apokalipsę, ja widzę okazję biznesową.","봐라, 성공한 자와 약자를 가르는 건 바로 야망이다. 네가 종말을 볼 때, 나는 경제적 기회를 본다."
Text/2b/text,You’re insane.,Estás loco.,你疯了。,Ты сумасшедший.,Você é louco.,Du bist wahnsinnig.,どうかしてる。,Tu es fou.,Jesteś szalony.,미쳤군.
Text/2c/text,I’m the CEO of Lake Tech & Science Co. for a reason. People like you can’t be trusted to take advantage of opportunities as they present themselves.,"Soy el director general de Lake Tech & Science Co. por algo. No se puede confiar en que gente como tú aproveche las oportunidades cuando se presentan.","我能当上湖科科技公司的CEO是有原因的。像你这种人，根本不懂得抓住眼前的机会。","Я не просто так генеральный директор Lake Tech & Science Co. Таким, как ты, нельзя доверить пользоваться возможностями, когда они появляются.","Sou o CEO da Lake Tech & Science Co. por um motivo. Não dá para confiar que gente como você aproveite as oportunidades quando elas aparecem.","Ich bin nicht ohne Grund der CEO von Lake Tech & Science Co. Leuten wie dir kann man nicht zutrauen Gelegenheiten zu nutzen wenn sie sich bieten.","私が理由もなくレイク・テック＆サイエンス社のCEOをやっていると思うか。君のような人間には、目の前の好機を活かすことなどできない。","Je ne suis pas PDG de Lake Tech & Science Co. pour rien. On ne peut pas compter sur les gens comme toi pour saisir les opportunités quand elles se présentent.","Nie bez powodu jestem prezesem Lake Tech & Science Co. Ludziom takim jak ty nie można powierzyć wykorzystywania okazji, gdy się nadarzają.","내가 괜히 레이크 테크 & 사이언스사의 CEO인 게 아니다. 너 같은 사람들에겐 눈앞의 기회를 잡는 일을 맡길 수 없지."
Text/2d/text,Says the guy that got a million dollar loan from dad…,"Dice el tipo que recibió un préstamo de un millón de dólares de papá…","这话出自一个从老爸那儿拿了一百万美元贷款的人……","Говорит человек, получивший миллион долларов в долг от папочки…","Falou o cara que pegou um empréstimo de um milhão de dólares com o papai…","Sagt der Typ der von Daddy einen Millionenkredit bekommen hat…","パパから100万ドル借りた男がよく言うわ……","Dit le type qui a reçu un prêt d'un million de dollars de papa…","Mówi gość, który dostał milion dolarów pożyczki od tatusia…","아빠한테 백만 달러 대출받은 사람이 할 말은 아니지…"
Text/2e/text,"These people are better off as mindless zombies, so I can lead them to prosperity, peace. You’ll understand soon enough. Argus did too.","Esta gente está mejor como zombis sin mente: así puedo guiarlos a la prosperidad, a la paz. Pronto lo entenderás. Argus también lo entendió.","这些人变成无意识的僵尸反而更好，这样我就能带领他们走向繁荣与安宁。你很快就会明白的。阿古斯也明白了。","Этим людям лучше быть безмозглыми зомби — так я смогу привести их к процветанию, к миру. Скоро ты поймёшь. Аргус вот понял.","Essas pessoas ficam melhor como zumbis sem mente, assim posso conduzi-las à prosperidade, à paz. Você vai entender logo. O Argus também entendeu.","Diesen Menschen geht es als hirnlose Zombies besser — so kann ich sie zu Wohlstand führen, zu Frieden. Du wirst es bald genug verstehen. Argus hat es auch verstanden.","この人々は心なきゾンビでいる方が幸せなのだ。そうすれば私が繁栄と平和へ導いてやれる。じきに君にもわかる。アーガスもわかってくれたよ。","Ces gens sont mieux en zombies sans esprit : ainsi je peux les mener à la prospérité, à la paix. Tu comprendras bien assez tôt. Argus a compris, lui aussi.","Tym ludziom lepiej jest jako bezmyślnym zombie — tak mogę ich poprowadzić ku dobrobytowi, ku pokojowi. Wkrótce zrozumiesz. Argus też zrozumiał.","이 사람들은 생각 없는 좀비로 사는 게 낫다. 그래야 내가 그들을 번영과 평화로 이끌 수 있으니까. 곧 너도 이해하게 될 거다. 아르구스도 그랬지."
Text/2f/text,There’s something that I just can’t stop thinking about…,"Hay algo en lo que no dejo de pensar…","有件事我一直挥之不去……","Есть кое-что, о чём я никак не могу перестать думать…","Tem uma coisa que eu não consigo parar de pensar…","Da ist etwas das mir einfach nicht aus dem Kopf geht…","どうしても頭から離れないことがあるの……","Il y a un truc auquel je n'arrête pas de penser…","Jest coś, o czym nie mogę przestać myśleć…","계속 머릿속을 떠나지 않는 게 하나 있어…"
Text/30/text,The fact that all the zombies are totally weird and mutated now?,"¿Que ahora todos los zombis son rarísimos y están mutados?","是说现在所有僵尸都变得怪里怪气、突变连连这件事？","То, что все зомби теперь странные и мутировавшие?","O fato de que todos os zumbis agora são super estranhos e mutantes?","Dass alle Zombies jetzt total seltsam und mutiert sind?","ゾンビがみんな変てこに変異してること？","Le fait que tous les zombies soient devenus bizarres et mutants ?","To, że wszystkie zombie są teraz dziwaczne i zmutowane?","좀비들이 죄다 이상하게 변이했다는 거?"
Text/31/text,I- Yes. How did you know that?,"Yo… Sí. ¿Cómo lo sabías?","我——对。你怎么知道的？","Я… Да. Откуда ты знаешь?","Eu- Sim. Como você sabia?","Ich- Ja. Woher wusstest du das?","え——うん。なんでわかったの？","Je… Oui. Comment tu le savais ?","Ja… Tak. Skąd wiedziałaś?","나… 응, 맞아. 어떻게 알았어?"
Text/32/text,"I’m in your head, idiot. Which is also why, despite the fact that I’m walking through a literal swamp in an alternate dimension right now, on Earth you’re following a trail.","Estoy en tu cabeza, idiota. Que es también la razón de que, aunque ahora mismo esté cruzando un pantano literal en otra dimensión, tú en la Tierra estés siguiendo un rastro.","我就在你脑子里啊，笨蛋。也正因如此，虽然我现在正跋涉在异次元一片货真价实的沼泽里，你却在地球上循着一条小径走。","Я у тебя в голове, дурочка. Поэтому, хотя я сейчас бреду по самому настоящему болоту в другом измерении, ты на Земле идёшь по тропе.","Eu estou na sua cabeça, idiota. Que também é o motivo de, apesar de eu estar literalmente atravessando um pântano numa dimensão alternativa agora, você na Terra estar seguindo uma trilha.","Ich bin in deinem Kopf, du Idiotin. Weshalb du auf der Erde auch einer Spur folgst obwohl ich gerade buchstäblich durch einen Sumpf in einer anderen Dimension stapfe.","あんたの頭の中にいるんだもの、バカね。だからこそ、私が今まさに異次元の正真正銘の沼を歩いてる一方で、あんたは地球で道をたどってるってわけ。","Je suis dans ta tête, idiote. C'est aussi pour ça que, alors que je traverse littéralement un marécage dans une dimension parallèle en ce moment, toi sur Terre tu suis une piste.","Jestem w twojej głowie, idiotko. Dlatego też, choć ja brnę teraz przez dosłowne bagno w innym wymiarze, ty na Ziemi podążasz szlakiem.","난 네 머릿속에 있잖아, 바보야. 그래서 내가 지금 다른 차원의 진짜 늪을 걷고 있는데도, 지구에 있는 네가 흔적을 따라가고 있는 거고."
